ID#	1											
Name	Air											
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/19 10:01	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/19 10:32	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/19 11:02	1	Standard(Calc.Point)	1	2.7	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/19 11:33	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/19 12:03	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/19 12:34	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/19 13:05	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/19 13:35	6	Standard(Calc.Point)	6	2.705	5377908	1018.99	950.5	*	107.2	68.49
9	BRN27jun19_09.gcd	6/27/19 14:06	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/19 14:36	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/19 15:07	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/19 15:38	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/19 16:08	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/19 16:39	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/19 17:09	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/19 17:40	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/19 18:11	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108	75.951
18	AGH19jul19_01.gcd	7/19/19 10:35	air	Unknown	0	2.702	5320881	1048.586	-----	-----	-----	-----
19	AGH19jul19_02.gcd	7/19/19 11:06	std add +100	Unknown	0	2.71	5201339	1110.625	-----	-----	-----	-----
20	AGH19jul19_03.gcd	7/19/19 11:36	216	Unknown	0	-----	-----	-----	-----	-----	-----	-----
21	AGH19jul19_04.gcd	7/19/19 12:07	111	Unknown	0	-----	-----	-----	-----	-----	-----	-----
22	AGH19jul19_05.gcd	7/19/19 12:38	175	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	AGH19jul19_06.gcd	7/19/19 13:08	180	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	AGH19jul19_07.gcd	7/19/19 13:39	95	Unknown	0	-----	-----	-----	-----	-----	-----	-----
25	AGH19jul19_08.gcd	7/19/19 14:09	125	Unknown	0	-----	-----	-----	-----	-----	-----	-----
26	AGH19jul19_09.gcd	7/19/19 14:40	122	Unknown	0	-----	-----	-----	-----	-----	-----	-----
27	AGH19jul19_10.gcd	7/19/19 15:11	49	Unknown	0	-----	-----	-----	-----	-----	-----	-----
28	AGH19jul19_11.gcd	7/19/19 15:41	91	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	AGH19jul19_12.gcd	7/19/19 16:12	159	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	AGH19jul19_13.gcd	7/19/19 16:43	120	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	AGH19jul19_14.gcd	7/19/19 17:13	53	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	AGH19jul19_15.gcd	7/19/19 17:44	170	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	AGH19jul19_16.gcd	7/19/19 18:15	45	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	AGH19jul19_17.gcd	7/19/19 18:45	164	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	AGH19jul19_18.gcd	7/19/19 19:16	184	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	AGH19jul19_19.gcd	7/19/19 19:47	183	Unknown	0	-----	-----	-----	-----	-----	-----	-----
