ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	2.700	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	2.705	5377908	1018.990	950.5	*	107.2	68.490
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108.0	75.951
18	RPM28jun19_01a.gcd	6/28/2019 9:16:47 AM	air	Unknown	0	2.704	5368446	1023.901	-----	-----	-----	-----
19	RPM28jun19_02.gcd	6/28/2019 9:47:23 AM	std add +100	Unknown	0	2.705	5321208	1048.416	-----	-----	-----	-----
20	RPM28jun19_03.gcd	6/28/2019 10:17:59 AM	095	Unknown	0	-----	-----	-----	-----	-----	-----	-----
21	RPM28jun19_04.gcd	6/28/2019 10:48:35 AM	128	Unknown	0	-----	-----	-----	-----	-----	-----	-----
22	RPM28jun19_05.gcd	6/28/2019 11:19:11 AM	159	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	RPM28jun19_06.gcd	6/28/2019 11:49:48 AM	192	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	RPM28jun19_07.gcd	6/28/2019 12:20:25 PM	171	Unknown	0	-----	-----	-----	-----	-----	-----	-----
25	RPM28jun19_08.gcd	6/28/2019 12:51:00 PM	145	Unknown	0	-----	-----	-----	-----	-----	-----	-----
26	RPM28jun19_09.gcd	6/28/2019 1:21:36 PM	094	Unknown	0	-----	-----	-----	-----	-----	-----	-----
27	RPM28jun19_10.gcd	6/28/2019 1:52:12 PM	053	Unknown	0	-----	-----	-----	-----	-----	-----	-----
28	RPM28jun19_11.gcd	6/28/2019 2:22:50 PM	184	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	RPM28jun19_12.gcd	6/28/2019 2:53:27 PM	131	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	RPM28jun19_13.gcd	6/28/2019 3:24:05 PM	162	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	RPM28jun19_14.gcd	6/28/2019 3:54:42 PM	137	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	RPM28jun19_15.gcd	6/28/2019 4:25:19 PM	010	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	RPM28jun19_16.gcd	6/28/2019 4:55:55 PM	111	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	RPM28jun19_17.gcd	6/28/2019 5:26:33 PM	076	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	RPM28jun19_18.gcd	6/28/2019 5:57:11 PM	172	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	RPM28jun19_19.gcd	6/28/2019 6:27:47 PM	116	Unknown	0	-----	-----	-----	-----	-----	-----	-----
37	RPM28jun19_20.gcd	6/28/2019 6:58:24 PM	121	Unknown	0	-----	-----	-----	-----	-----	-----	-----
38	RPM28jun19_21.gcd	6/28/2019 7:28:58 PM	155	Unknown	0	-----	-----	-----	-----	-----	-----	-----
39	RPM28jun19_22.gcd	6/28/2019 7:59:36 PM	109	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	RPM28jun19_23.gcd	6/28/2019 8:30:13 PM	196	Unknown	0	-----	-----	-----	-----	-----	-----	-----
41	RPM28jun19_24.gcd	6/28/2019 9:00:49 PM	130	Unknown	0	-----	-----	-----	-----	-----	-----	-----
42	RPM28jun19_25.gcd	6/28/2019 9:31:25 PM	069	Unknown	0	-----	-----	-----	-----	-----	-----	-----
43	RPM28jun19_26.gcd	6/28/2019 10:02:02 PM	088	Unknown	0	-----	-----	-----	-----	-----	-----	-----
44	RPM28jun19_27.gcd	6/28/2019 10:32:40 PM	051	Unknown	0	-----	-----	-----	-----	-----	-----	-----
45	RPM28jun19_28.gcd	6/28/2019 11:03:15 PM	020	Unknown	0	-----	-----	-----	-----	-----	-----	-----
46	RPM28jun19_29.gcd	6/28/2019 11:33:52 PM	198	Unknown	0	-----	-----	-----	-----	-----	-----	-----
47	RPM28jun19_30.gcd	6/29/2019 12:04:26 AM	176	Unknown	0	-----	-----	-----	-----	-----	-----	-----
48	RPM28jun19_31.gcd	6/29/2019 12:35:03 AM	092	Unknown	0	-----	-----	-----	-----	-----	-----	-----
49	RPM28jun19_32.gcd	6/29/2019 1:05:38 AM	190	Unknown	0	-----	-----	-----	-----	-----	-----	-----
50	RPM28jun19_33.gcd	6/29/2019 1:36:14 AM	078	Unknown	0	-----	-----	-----	-----	-----	-----	-----
51	RPM28jun19_34.gcd	6/29/2019 2:06:51 AM	199	Unknown	0	-----	-----	-----	-----	-----	-----	-----
52	RPM28jun19_35.gcd	6/29/2019 2:37:28 AM	045	Unknown	0	2.746	3923809	1773.633	-----	-----	-----	-----
53	RPM28jun19_36.gcd	6/29/2019 3:08:05 AM	178	Unknown	0	-----	-----	-----	-----	-----	-----	-----
54	RPM28jun19_37.gcd	6/29/2019 3:38:44 AM	112	Unknown	0	-----	-----	-----	-----	-----	-----	-----
55	RPM28jun19_38.gcd	6/29/2019 4:09:21 AM	152	Unknown	0	-----	-----	-----	-----	-----	-----	-----
56	RPM28jun19_39.gcd	6/29/2019 4:39:58 AM	200	Unknown	0	-----	-----	-----	-----	-----	-----	-----
57	RPM28jun19_40.gcd	6/29/2019 5:10:32 AM	090	Unknown	0	-----	-----	-----	-----	-----	-----	-----
58	RPM28jun19_41.gcd	6/29/2019 5:41:09 AM	113	Unknown	0	-----	-----	-----	-----	-----	-----	-----
59	RPM28jun19_42.gcd	6/29/2019 6:11:47 AM	125	Unknown	0	-----	-----	-----	-----	-----	-----	-----
60	RPM28jun19_43.gcd	6/29/2019 6:42:22 AM	015	Unknown	0	-----	-----	-----	-----	-----	-----	-----
61	RPM28jun19_44.gcd	6/29/2019 7:13:01 AM	074	Unknown	0	-----	-----	-----	-----	-----	-----	-----
62	RPM28jun19_45.gcd	6/29/2019 7:43:39 AM	183	Unknown	0	-----	-----	-----	-----	-----	-----	-----
63	RPM28jun19_46.gcd	6/29/2019 8:14:16 AM	050	Unknown	0	-----	-----	-----	-----	-----	-----	-----
64	RPM28jun19_47.gcd	6/29/2019 8:44:55 AM	094	Unknown	0	-----	-----	-----	-----	-----	-----	-----
65	RPM28jun19_48.gcd	6/29/2019 9:15:31 AM	049	Unknown	0	-----	-----	-----	-----	-----	-----	-----
66	RPM28jun19_49.gcd	6/29/2019 9:46:07 AM	110	Unknown	0	-----	-----	-----	-----	-----	-----	-----
67	RPM28jun19_50.gcd	6/29/2019 10:16:44 AM	017	Unknown	0	-----	-----	-----	-----	-----	-----	-----
68	RPM28jun19_51.gcd	6/29/2019 10:47:21 AM	135	Unknown	0	-----	-----	-----	-----	-----	-----	-----
69	RPM28jun19_52.gcd	6/29/2019 11:17:59 AM	008	Unknown	0	-----	-----	-----	-----	-----	-----	-----
	Average					2.700	5416920	998.744			100.5	56.641
	%RSD					0.445644	6.864976	19.323470			6.547743	38.663350
	Maximum					2.746	5673089	1773.633			110.6	99.534
	Minimum					2.691	3923809	865.798			91.8	16.466
	Std. Dev.					0.012034	371870.308149	192.991909			6.582438	21.899490

ID#	2
Name	High CH4 by TCD
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	-----	-----	-----	2.6		-----	-----
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	-----	-----	-----	3.4		-----	-----
