ID#	1
Name	"Air"
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	2.699	5343910	1036.634	937.1	*	110.6	99.534
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	2.692	5596328	905.635	937.1	*	96.6	-31.465
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	2.700	5422861	995.661	937.1	*	106.2	58.561
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	2.702	5450785	981.169	937.3	*	104.7	43.869
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	2.691	5639479	883.241	938	*	94.2	-54.759
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	2.703	5429347	992.294	939.8	*	105.6	52.494
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	2.693	5583207	912.445	941.6	*	96.9	-29.155
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	2.705	5377908	1018.990	950.5	*	107.2	68.490
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	2.692	5628969	888.695	959.4	*	92.6	-70.705
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	2.692	5632438	886.895	937.3	*	94.6	-50.405
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	2.692	5673089	865.798	938	*	92.3	-72.202
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	2.695	5562225	923.334	939.8	*	98.2	-16.466
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	2.707	5370845	1022.656	941.6	*	108.6	81.056
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	2.693	5660370	872.399	950.5	*	91.8	-78.101
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	2.699	5408510	1003.108	959.4	*	104.6	43.708
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	2.694	5580180	914.016	950	*	96.2	-35.984
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	2.705	5364496	1025.951	950	*	108.0	75.951
18	AMM23July19_01.gcd	7/23/2019 9:15:50 AM	air	Unknown	0	2.704	5113909	1156.000	-----	-----	-----	-----
19	AMM23July19_02.gcd	7/23/2019 9:46:26 AM	std add +100	Unknown	0	2.712	5049024	1189.673	-----	-----	-----	-----
20	AMM23July19_03.gcd	7/23/2019 10:17:00 AM	217	Unknown	0	2.735	3735342	1871.443	-----	-----	-----	-----
21	AMM23July19_04.gcd	7/23/2019 10:47:36 AM	082	Unknown	0	2.743	3233982	2131.637	-----	-----	-----	-----
22	AMM23July19_05.gcd	7/23/2019 11:18:11 AM	171	Unknown	0	-----	-----	-----	-----	-----	-----	-----
23	AMM23July19_06.gcd	7/23/2019 11:48:48 AM	155	Unknown	0	-----	-----	-----	-----	-----	-----	-----
24	AMM23July19_07.gcd	7/23/2019 12:19:23 PM	042	Unknown	0	2.745	3340373	2076.423	-----	-----	-----	-----
25	AMM23July19_08.gcd	7/23/2019 12:49:58 PM	117	Unknown	0	2.746	3335143	2079.137	-----	-----	-----	-----
26	AMM23July19_09.gcd	7/23/2019 1:20:33 PM	103	Unknown	0	2.744	3365660	2063.300	-----	-----	-----	-----
27	AMM23July19_10.gcd	7/23/2019 1:51:13 PM	102	Unknown	0	2.735	3759160	1859.083	-----	-----	-----	-----
28	AMM23July19_11.gcd	7/23/2019 2:21:49 PM	090	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	AMM23July19_12.gcd	7/23/2019 2:52:27 PM	113	Unknown	0	-----	-----	-----	-----	-----	-----	-----
30	AMM23July19_13.gcd	7/23/2019 3:23:04 PM	030	Unknown	0	-----	-----	-----	-----	-----	-----	-----
31	AMM23July19_14.gcd	7/23/2019 3:53:45 PM	201	Unknown	0	-----	-----	-----	-----	-----	-----	-----
32	AMM23July19_15.gcd	7/23/2019 4:24:20 PM	172	Unknown	0	-----	-----	-----	-----	-----	-----	-----
33	AMM23July19_17.gcd	7/23/2019 5:25:35 PM	202	Unknown	0	-----	-----	-----	-----	-----	-----	-----
34	AMM23July19_18.gcd	7/23/2019 5:56:14 PM	078	Unknown	0	-----	-----	-----	-----	-----	-----	-----
35	AMM23July19_19.gcd	7/23/2019 6:26:52 PM	024	Unknown	0	-----	-----	-----	-----	-----	-----	-----
36	AMM23July19_20.gcd	7/23/2019 6:57:28 PM	015	Unknown	0	-----	-----	-----	-----	-----	-----	-----
37	AMM23July19_21.gcd	7/23/2019 7:28:07 PM	017	Unknown	0	-----	-----	-----	-----	-----	-----	-----
38	AMM23July19_22.gcd	7/23/2019 7:58:44 PM	143	Unknown	0	-----	-----	-----	-----	-----	-----	-----
39	AMM23July19_23.gcd	7/23/2019 8:29:22 PM	099	Unknown	0	-----	-----	-----	-----	-----	-----	-----
40	AMM23July19_24.gcd	7/23/2019 9:00:00 PM	203	Unknown	0	-----	-----	-----	-----	-----	-----	-----
41	AMM23July19_25.gcd	7/23/2019 9:30:37 PM	014	Unknown	0	-----	-----	-----	-----	-----	-----	-----
42	AMM23July19_26.gcd	7/23/2019 10:01:15 PM	008	Unknown	0	-----	-----	-----	-----	-----	-----	-----
43	AMM23July19_27.gcd	7/23/2019 10:31:52 PM	040	Unknown	0	-----	-----	-----	-----	-----	-----	-----
	Average					2.709	4986302	1222.225			100.5	56.641
	%RSD					0.724545	17.924853	37.951661			6.547743	38.663350
	Maximum					2.746	5673089	2131.637			110.6	99.534
	Minimum					2.691	3233982	865.798			91.8	16.466
	Std. Dev.					0.019626	893787.241654	463.854562			6.582438	21.899490

ID#	2
Name	High CH4 by TCD
	Data Filename	Date Acquired	Sample Name	Sample Type	Level#	Ret. Time	Area	Conc.	Std. Conc.	Cal. Point	Accuracy[%]	Deviation
1	BRN27jun19_01.gcd	6/27/2019 10:01:28 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
2	BRN27jun19_02.gcd	6/27/2019 10:32:04 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
3	BRN27jun19_03.gcd	6/27/2019 11:02:38 AM	1	Standard(Calc.Point)	1	-----	-----	-----	1.85		-----	-----
4	BRN27jun19_04.gcd	6/27/2019 11:33:13 AM	2	Standard(Calc.Point)	2	-----	-----	-----	2.6		-----	-----
5	BRN27jun19_05.gcd	6/27/2019 12:03:51 PM	3	Standard(Calc.Point)	3	-----	-----	-----	3.4		-----	-----
6	BRN27jun19_06.gcd	6/27/2019 12:34:26 PM	4	Standard(Calc.Point)	4	-----	-----	-----	5		-----	-----
7	BRN27jun19_07.gcd	6/27/2019 1:05:03 PM	5	Standard(Calc.Point)	5	-----	-----	-----	9		-----	-----
8	BRN27jun19_08.gcd	6/27/2019 1:35:40 PM	6	Standard(Calc.Point)	6	-----	-----	-----	17.6		-----	-----
9	BRN27jun19_09.gcd	6/27/2019 2:06:14 PM	7	Standard(Calc.Point)	7	-----	-----	-----	33.1		-----	-----
10	BRN27jun19_10.gcd	6/27/2019 2:36:52 PM	8	Standard(Calc.Point)	8	-----	-----	-----	64.2		-----	-----
11	BRN27jun19_11.gcd	6/27/2019 3:07:28 PM	9	Standard(Calc.Point)	9	-----	-----	-----	125.7		-----	-----
12	BRN27jun19_12.gcd	6/27/2019 3:38:05 PM	10	Standard(Calc.Point)	10	-----	-----	-----	241.4		-----	-----
13	BRN27jun19_13.gcd	6/27/2019 4:08:41 PM	11	Standard(Calc.Point)	11	-----	-----	-----	480.7		-----	-----
14	BRN27jun19_14.gcd	6/27/2019 4:39:18 PM	12	Standard(Calc.Point)	12	5.981	3439	947.547	958.6	*	98.8	-11.053
15	BRN27jun19_15.gcd	6/27/2019 5:09:57 PM	13	Standard(Calc.Point)	13	5.973	7719	1949.637	2149.4	*	90.7	-199.762
16	BRN27jun19_16.gcd	6/27/2019 5:40:32 PM	14	Standard(Calc.Point)	14	5.966	21096	5080.889	4749.6	*	107.0	331.289
17	BRN27jun19_17.gcd	6/27/2019 6:11:10 PM	15	Standard(Calc.Point)	15	5.965	39070	9288.427	9408.9	*	98.7	-120.474
18	AMM23July19_01.gcd	7/23/2019 9:15:50 AM	air	Unknown	0	-----	-----	-----	-----	-----	-----	-----
19	AMM23July19_02.gcd	7/23/2019 9:46:26 AM	std add +100	Unknown	0	5.975	8016	2019.024	-----	-----	-----	-----
20	AMM23July19_03.gcd	7/23/2019 10:17:00 AM	217	Unknown	0	5.669	1295629	303430.510	-----	-----	-----	-----
21	AMM23July19_04.gcd	7/23/2019 10:47:36 AM	082	Unknown	0	5.581	1792120	419651.881	-----	-----	-----	-----
22	AMM23July19_05.gcd	7/23/2019 11:18:11 AM	171	Unknown	0	5.554	2007466	470061.180	-----	-----	-----	-----
23	AMM23July19_06.gcd	7/23/2019 11:48:48 AM	155	Unknown	0	5.588	1789523	419043.856	-----	-----	-----	-----
24	AMM23July19_07.gcd	7/23/2019 12:19:23 PM	042	Unknown	0	5.604	1678551	393067.007	-----	-----	-----	-----
25	AMM23July19_08.gcd	7/23/2019 12:49:58 PM	117	Unknown	0	5.600	1709851	400393.803	-----	-----	-----	-----
26	AMM23July19_09.gcd	7/23/2019 1:20:33 PM	103	Unknown	0	5.606	1674544	392128.946	-----	-----	-----	-----
27	AMM23July19_10.gcd	7/23/2019 1:51:13 PM	102	Unknown	0	5.671	1289358	301962.474	-----	-----	-----	-----
28	AMM23July19_11.gcd	7/23/2019 2:21:49 PM	090	Unknown	0	-----	-----	-----	-----	-----	-----	-----
29	AMM23July19_12.gcd	7/23/2019 2:52:27 PM	113	Unknown	0	-----	-----	-----	-----	-----	-----	-----
